lat,lon,pm25_annual,side
22.915000915527344,72.61499786376953,52.55000305175781,East
22.915000915527344,72.625,51.55833435058594,East
22.915000915527344,72.63500213623047,51.383331298828125,East
22.915000915527344,72.6449966430664,51.033329010009766,East
22.915000915527344,72.65499877929688,50.983333587646484,East
22.915000915527344,72.66500091552734,50.56666946411133,East
22.915000915527344,72.67500305175781,50.02499771118164,East
22.915000915527344,72.68499755859375,49.466670989990234,East
22.915000915527344,72.69499969482422,48.98333740234375,East
22.915000915527344,72.70500183105469,48.81666946411133,East
22.915000915527344,72.71499633789062,48.70000076293945,East
22.915000915527344,72.7249984741211,48.6583366394043,East
22.915000915527344,72.73500061035156,48.02499771118164,East
22.915000915527344,72.74500274658203,47.658329010009766,East
22.924999237060547,72.40499877929688,53.81666946411133,West
22.924999237060547,72.41500091552734,55.991668701171875,West
22.924999237060547,72.42500305175781,58.383331298828125,West
22.924999237060547,72.43499755859375,60.2166633605957,West
22.924999237060547,72.44499969482422,58.991668701171875,West
22.924999237060547,72.45500183105469,56.93333435058594,West
22.924999237060547,72.46499633789062,54.20000076293945,West
22.924999237060547,72.4749984741211,52.783329010009766,West
22.924999237060547,72.48500061035156,53.02500534057617,West
22.924999237060547,72.49500274658203,52.766666412353516,West
22.924999237060547,72.50499725341797,51.8416633605957,West
22.924999237060547,72.51499938964844,51.83332824707031,West
22.924999237060547,72.5250015258789,53.0583381652832,West
22.924999237060547,72.53500366210938,54.60000228881836,West
22.924999237060547,72.54499816894531,55.5333366394043,West
22.924999237060547,72.55500030517578,55.41666793823242,West
22.924999237060547,72.56500244140625,54.85000228881836,West
22.924999237060547,72.57499694824219,54.81666564941406,East
22.924999237060547,72.58499908447266,54.85000228881836,East
22.924999237060547,72.59500122070312,55.39999771118164,East
22.924999237060547,72.6050033569336,54.58332824707031,East
22.924999237060547,72.61499786376953,52.67499923706055,East
22.924999237060547,72.625,51.591670989990234,East
22.924999237060547,72.63500213623047,51.5333366394043,East
22.924999237060547,72.6449966430664,51.20000076293945,East
22.924999237060547,72.65499877929688,51.06666564941406,East
22.924999237060547,72.66500091552734,50.533329010009766,East
22.924999237060547,72.67500305175781,49.89166259765625,East
22.924999237060547,72.68499755859375,48.83333206176758,East
22.924999237060547,72.69499969482422,48.20832824707031,East
22.924999237060547,72.70500183105469,47.874996185302734,East
22.924999237060547,72.71499633789062,47.999996185302734,East
22.924999237060547,72.7249984741211,47.81666946411133,East
22.924999237060547,72.73500061035156,47.725006103515625,East
22.924999237060547,72.74500274658203,47.45833206176758,East
22.934999465942383,72.40499877929688,53.70833206176758,West
22.934999465942383,72.41500091552734,54.716670989990234,West
